Kategori: Alle kategorier

month,diet: (USA)
2011-01,94
2011-02,80
2011-03,83
2011-04,87
2011-05,85
2011-06,79
2011-07,77
2011-08,73
2011-09,71
2011-10,68
2011-11,67
2011-12,64
2012-01,98
2012-02,85
2012-03,84
2012-04,82
2012-05,80
2012-06,79
2012-07,81
2012-08,74
2012-09,69
2012-10,65
2012-11,59
2012-12,59
2013-01,93
2013-02,86
2013-03,86
2013-04,86
2013-05,79
2013-06,77
2013-07,77
2013-08,71
2013-09,66
2013-10,65
2013-11,59
2013-12,57
2014-01,88
2014-02,75
2014-03,76
2014-04,72
2014-05,70
2014-06,65
2014-07,65
2014-08,60
2014-09,59
2014-10,56
2014-11,51
2014-12,52
2015-01,74
2015-02,62
2015-03,68
2015-04,68
2015-05,65
2015-06,64
2015-07,64
2015-08,59
2015-09,56
2015-10,54
2015-11,51
2015-12,49
2016-01,75
2016-02,65
2016-03,66
2016-04,67
2016-05,64
2016-06,61
2016-07,59
2016-08,60
2016-09,56
2016-10,53
2016-11,47
2016-12,48
2017-01,77
2017-02,79
2017-03,72
2017-04,72
2017-05,71
2017-06,69
2017-07,73
2017-08,65
2017-09,60
2017-10,61
2017-11,57
2017-12,55
2018-01,90
2018-02,80
2018-03,84
2018-04,87
2018-05,83
2018-06,83
2018-07,84
2018-08,79
2018-09,70
2018-10,66
2018-11,58
2018-12,61
2019-01,100
2019-02,80
2019-03,77
2019-04,81
2019-05,69
2019-06,66
2019-07,66
2019-08,63
2019-09,59
2019-10,57
2019-11,53
2019-12,52
